# time, 1st underlying asset price, 2nd underlying asset price, 3rd underlying asset price, price
3.000000000000000000e+01, 1.781250000000000000e+01, 2.906250000000000000e+01, 2.343750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.031250000000000000e+01, 2.156250000000000000e+01, 9.375000000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 2.531250000000000000e+01, 6.562500000000000000e+00, 1.593750000000000000e+00, 3.297859191894531250e+00
3.000000000000000000e+01, 4.687500000000000000e+00, 1.593750000000000000e+01, 2.531250000000000000e+00, 5.265734672546386719e+00
3.000000000000000000e+01, 1.968750000000000000e+01, 9.375000000000000000e-01, 1.031250000000000000e+00, 8.867549896240234375e+00
3.000000000000000000e+01, 1.218750000000000000e+01, 8.437500000000000000e+00, 1.781250000000000000e+00, 1.441364645957946777e+00
3.000000000000000000e+01, 2.718750000000000000e+01, 2.343750000000000000e+01, 2.812500000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 8.437500000000000000e+00, 4.687500000000000000e+00, 2.906250000000000000e+00, 5.303129196166992188e+00
3.000000000000000000e+01, 2.343750000000000000e+01, 1.968750000000000000e+01, 1.406250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.375000000000000000e-01, 2.718750000000000000e+01, 2.156250000000000000e+00, 8.978480339050292969e+00
3.000000000000000000e+01, 1.593750000000000000e+01, 1.218750000000000000e+01, 6.562500000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 7.968750000000000000e+00, 1.828125000000000000e+01, 1.734375000000000000e+00, 1.905485033988952637e+00
3.000000000000000000e+01, 2.296875000000000000e+01, 3.281250000000000000e+00, 2.343750000000000000e-01, 6.445976734161376953e+00
3.000000000000000000e+01, 4.687500000000000000e-01, 1.078125000000000000e+01, 2.484375000000000000e+00, 9.479820251464843750e+00
3.000000000000000000e+01, 1.546875000000000000e+01, 2.578125000000000000e+01, 9.843750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 4.218750000000000000e+00, 7.031250000000000000e+00, 2.109375000000000000e+00, 5.692583084106445312e+00
3.000000000000000000e+01, 1.921875000000000000e+01, 2.203125000000000000e+01, 6.093750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.171875000000000000e+01, 2.953125000000000000e+01, 2.859375000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.671875000000000000e+01, 1.453125000000000000e+01, 1.359375000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.343750000000000000e+00, 2.390625000000000000e+01, 4.218750000000000000e-01, 7.401732444763183594e+00
3.000000000000000000e+01, 1.734375000000000000e+01, 8.906250000000000000e+00, 1.921875000000000000e+00, 9.865165948867797852e-01
3.000000000000000000e+01, 9.843750000000000000e+00, 1.406250000000000000e+00, 1.171875000000000000e+00, 8.412598609924316406e+00
3.000000000000000000e+01, 2.484375000000000000e+01, 1.640625000000000000e+01, 2.671875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.359375000000000000e+01, 1.265625000000000000e+01, 4.687500000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 2.859375000000000000e+01, 2.765625000000000000e+01, 1.546875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.093750000000000000e+00, 2.015625000000000000e+01, 7.968750000000000000e-01, 3.688346624374389648e+00
3.000000000000000000e+01, 2.109375000000000000e+01, 5.156250000000000000e+00, 2.296875000000000000e+00, 4.773684024810791016e+00
3.000000000000000000e+01, 7.031250000000000000e+00, 7.968750000000000000e+00, 2.953125000000000000e+00, 2.964063644409179688e+00
3.000000000000000000e+01, 2.203125000000000000e+01, 2.296875000000000000e+01, 1.453125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.453125000000000000e+01, 1.546875000000000000e+01, 2.203125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.953125000000000000e+01, 4.687500000000000000e-01, 7.031250000000000000e-01, 9.304180145263671875e+00
3.000000000000000000e+01, 1.078125000000000000e+01, 2.671875000000000000e+01, 2.578125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.578125000000000000e+01, 1.171875000000000000e+01, 1.078125000000000000e+00, 0.000000000000000000e+00
