# time, 1st underlying asset price, 2nd underlying asset price, price
3.000000000000000000e+01, 2.578125000000000000e+00, 7.734375000000000000e-01, 7.201679229736328125e+00
3.000000000000000000e+01, 1.757812500000000000e+01, 2.273437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 3.515625000000000000e+00, 1.992187500000000000e+00, 6.384099960327148438e+00
3.000000000000000000e+01, 1.851562500000000000e+01, 4.921875000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.101562500000000000e+01, 1.242187500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.601562500000000000e+01, 2.742187500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.476562500000000000e+01, 1.171875000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.976562500000000000e+01, 1.617187500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.265625000000000000e+00, 2.367187500000000000e+00, 2.671293497085571289e+00
3.000000000000000000e+01, 2.226562500000000000e+01, 8.671875000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 9.140625000000000000e+00, 2.929687500000000000e+00, 8.523462414741516113e-01
3.000000000000000000e+01, 2.414062500000000000e+01, 1.429687500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.640625000000000000e+00, 6.796875000000000000e-01, 8.130015373229980469e+00
3.000000000000000000e+01, 1.664062500000000000e+01, 2.179687500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 5.390625000000000000e+00, 1.054687500000000000e+00, 4.416723728179931641e+00
3.000000000000000000e+01, 2.039062500000000000e+01, 2.554687500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.289062500000000000e+01, 1.804687500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.789062500000000000e+01, 3.046875000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 3.984375000000000000e+00, 2.789062500000000000e+00, 5.994553565979003906e+00
3.000000000000000000e+01, 1.898437500000000000e+01, 1.289062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.148437500000000000e+01, 5.390625000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.648437500000000000e+01, 2.039062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.734375000000000000e+00, 9.140625000000000000e-01, 2.059191703796386719e+00
3.000000000000000000e+01, 2.273437500000000000e+01, 2.414062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.343750000000000000e-01, 1.664062500000000000e+00, 9.632919311523437500e+00
3.000000000000000000e+01, 1.523437500000000000e+01, 1.640625000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.335937500000000000e+01, 2.226562500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.835937500000000000e+01, 7.265625000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 5.859375000000000000e+00, 1.476562500000000000e+00, 3.989435911178588867e+00
3.000000000000000000e+01, 2.085937500000000000e+01, 2.976562500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.109375000000000000e+00, 3.515625000000000000e-01, 7.629257678985595703e+00
3.000000000000000000e+01, 1.710937500000000000e+01, 1.851562500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.609375000000000000e+00, 2.601562500000000000e+00, 3.508605062961578369e-01
3.000000000000000000e+01, 2.460937500000000000e+01, 1.101562500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.054687500000000000e+01, 6.328125000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.554687500000000000e+01, 2.132812500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 3.046875000000000000e+00, 2.882812500000000000e+00, 6.941412925720214844e+00
3.000000000000000000e+01, 1.804687500000000000e+01, 1.382812500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.796875000000000000e+00, 1.757812500000000000e+00, 3.079674482345581055e+00
3.000000000000000000e+01, 2.179687500000000000e+01, 2.578125000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.429687500000000000e+01, 1.007812500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.929687500000000000e+01, 2.507812500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.171875000000000000e+00, 1.195312500000000000e+00, 8.649274826049804688e+00
